Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
Alamet0,Alamet0,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
BBC,BBC,,1,Mentions,1,1,6,0.255068,0.263232,0,8,0,0,0,0.002929
BinAmhdAbdILlAh,BinAmhdAbdILlAh,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
real_kashmiri,real_kashmiri,,2,Mentions,1,2,6,0.269112,0.280749,0,17,0,0,0,0.008397
Ratman198556Www,Ratman198556Www,,5,Mentions,1,5,6,0.319896,0.332971,0,0,0,0,0,0.017014
IslamicEyes,IslamicEyes,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
gfxgfxgfxgfx,gfxgfxgfxgfx,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
saqrqurays,saqrqurays,,2,Mentions,1,2,7,0.254715,0.262189,0,22,0,0,0,0.002259
Abu_Air_Craft1,Abu_Air_Craft1,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
metesohtaoglu,metesohtaoglu,,10,Mentions,4,10,6,0.329976,0.355445,0.000058,0,0,0.833333,5,0.0568
Ald_Aba,Ald_Aba,,3,Mentions,3,3,6,0.314783,0.333857,0.000124,16,0,0.333333,1,0.030684
ferdddaws,ferdddaws,,1,Mentions,1,1,6,0.272952,0.282482,0,19,0,0,0,0.003779
hani19800,hani19800,,1,Mentions,1,1,6,0.272907,0.282135,0,3,0,0,0,0.004417
Tawheed4all,Tawheed4all,,13,Mentions,5,13,6,0.308647,0.328402,0.000734,3,0,0.1,1,0.032559
jailamx,jailamx,,17,Mentions,1,17,7,0.259631,0.26849,0,11,0,0,0,0.003557
AyseAysedincer8,AyseAysedincer8,,2,Mentions,1,2,7,0.268544,0.281999,0,3,0,0,0,0.006849
BadBoyTerrorist,BadBoyTerrorist,,2,Mentions,2,2,6,0.329943,0.353903,0,18,0,1,1,0.046886
islamca8,islamca8,,1,Mentions,1,1,8,0.233192,0.240544,0,9,0,0,0,0.001783
Anak_Sabil10,Anak_Sabil10,,2,Mentions,2,2,6,0.267437,0.276922,0,21,0,1,1,0.006128
brandanrey,brandanrey,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
Bnt167Roses,Bnt167Roses,,1,Mentions,1,1,7,0.255363,0.263025,0,17,0,0,0,0.002545
DefenseUnits,DefenseUnits,,2,Mentions,1,2,6,0.319896,0.332971,0,0,0,0,0,0.017014
IshaaqNewton,IshaaqNewton,,4,Mentions,2,4,6,0.288718,0.304996,0.00094,9,0,0,0,0.014196
pavilionopinion,pavilionopinion,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
golkane,golkane,,5,Mentions,1,5,6,0.310938,0.332784,0,15,0,0,0,0.03032
ShamiBr,ShamiBr,,1,Mentions,1,1,6,0.252249,0.259283,0,0,0,0,0,0.003166
H,H,,2,Mentions,1,2,8,0.201461,0.206781,0,22,0,0,0,0.000864
murphy7087,murphy7087,,2,Mentions,1,2,6,0.319896,0.332971,0,0,0,0,0,0.017014
bintemergent,bintemergent,,1,Mentions,1,1,7,0.251215,0.257983,0,12,0,0,0,0.003047
TheStudyofWar,TheStudyofWar,,8,Mentions,3,8,6,0.294003,0.310295,0.000194,16,0,0.333333,1,0.018061
shamr_aziz,shamr_aziz,,1,Mentions,1,1,7,0.268544,0.281999,0,3,0,0,0,0.006849
Q,Q,,1,Mentions,1,1,8,0.201461,0.206781,0,22,0,0,0,0.000864
MF553klashi,MF553klashi,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Bringerpeace,Bringerpeace,,3,Mentions,3,3,6,0.317319,0.332039,0.000418,8,0,0,0,0.022188
samzmer,samzmer,,2,Mentions,1,2,6,0.300709,0.313907,0,2,0,0,0,0.013709
DeutscheWelle,DeutscheWelle,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
LibyasChannel,LibyasChannel,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
aaaamjaat,aaaamjaat,,1,Mentions,1,1,7,0.230336,0.237878,0,3,0,0,0,0.001041
HKX07,HKX07,,9,Mentions,5,9,6,0.319803,0.339453,0.000097,0,0,0.4,4,0.046791
warreporter2,warreporter2,,190,; User,44,190,6,0.32717,0.345205,0.030891,4,0,0.001057,1,0.048274
KatieLobosco,KatieLobosco,,1,Mentions,1,1,7,0.243703,0.249728,0,0,0,0,0,0.001075
EjmAlrai,EjmAlrai,,11,Mentions,5,11,6,0.326267,0.353702,0.001797,6,0,0.2,2,0.053443
eddie1971nyc,eddie1971nyc,,4,Mentions,3,4,6,0.320143,0.344228,0.000169,12,0,0.333333,1,0.041821
YusuF_70312252,YusuF_70312252,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
arbetarsolen,arbetarsolen,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
Sean_Ulama,Sean_Ulama,,1,Mentions,1,1,7,0.25697,0.264894,0,24,0,0,0,0.003083
Abu_Ibn_Taha,Abu_Ibn_Taha,,25,; User,19,25,6,0.326074,0.349602,0.007124,6,0,0.02924,5,0.049166
mustho,mustho,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
CucumberGarlic,CucumberGarlic,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
truthHURTStough,truthHURTStough,,1,Mentions,1,1,7,0.260551,0.269194,0,8,0,0,0,0.003599
Dieinurage30_7,Dieinurage30_7,,1,Mentions,1,1,8,0.209842,0.217108,0,12,0,0,0,0.001182
MazherArshad,MazherArshad,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
baqiya58,baqiya58,,1,Mentions,1,1,7,0.245621,0.252453,0,5,0,0,0,0.001789
ZMeryame,ZMeryame,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
adegrandpre,adegrandpre,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
BI_contributors,BI_contributors,,2,Mentions,2,2,6,0.301889,0.318979,0.000131,6,0,0,0,0.020867
rtlinfo,rtlinfo,,2,Mentions,1,2,7,0.268544,0.281999,0,3,0,0,0,0.006849
KhilafaRashida,KhilafaRashida,,3,Mentions,3,3,6,0.311377,0.3322,0.00024,6,0,0.333333,1,0.033207
War_Tracker,War_Tracker,,5,Mentions,2,5,6,0.319741,0.341095,0,15,0,1,1,0.033502
newsdigest2016,newsdigest2016,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
brrreaking_news,brrreaking_news,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
SaveOurSyria,SaveOurSyria,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
EndOfTimes411,EndOfTimes411,,1,Mentions,1,1,7,0.25697,0.264894,0,24,0,0,0,0.003083
mpoppel,mpoppel,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
JosephHDempsey,JosephHDempsey,,2,Mentions,2,2,6,0.278676,0.292747,0.000085,17,0,0,0,0.012197
F24videos,F24videos,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
__aldente__,__aldente__,,14,Mentions,7,14,6,0.322012,0.339987,0.000649,8,0,0.285714,6,0.035512
LeBienheureuxIV,LeBienheureuxIV,,4,Mentions,1,4,6,0.310938,0.332784,0,15,0,0,0,0.03032
SyriaCeasefire,SyriaCeasefire,,3,Mentions,1,3,6,0.293663,0.308991,0,0,0,0,0,0.016358
Raqqa_SL,Raqqa_SL,,14,Mentions,8,14,6,0.336041,0.360406,0.002906,4,0,0.25,7,0.063307
ansarakhilafa,ansarakhilafa,,21,Mentions; User,13,21,6,0.296028,0.312622,0.005798,16,0,0.012821,1,0.018297
CleverBeth_,CleverBeth_,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
Drwish68,Drwish68,,2,Mentions,1,2,6,0.281665,0.292787,0,8,0,0,0,0.006131
MarwanTunsi____,MarwanTunsi____,,2,Mentions,2,2,6,0.311553,0.333741,0.000095,8,0,0,0,0.032047
Toyota,Toyota,,1,Mentions,1,1,6,0.252249,0.259283,0,0,0,0,0,0.003166
Akhmad_John,Akhmad_John,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
hasan9ali,hasan9ali,,8,Mentions,4,8,6,0.326106,0.34938,0.000158,13,0,0.5,3,0.043543
_sakkora_,_sakkora_,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
PemburuMimpi_ID,PemburuMimpi_ID,,1,Mentions,1,1,7,0.233143,0.238661,0,6,0,0,0,0.00084
medicaldaily,medicaldaily,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
LibyaschannelEN,LibyaschannelEN,,2,Mentions,2,2,6,0.316924,0.338909,0,8,0,1,1,0.036451
farsmoltm,farsmoltm,,1,Mentions,1,1,8,0.205924,0.211837,0,24,0,0,0,0.000627
BarzanSadiq,BarzanSadiq,,6,Mentions,4,6,6,0.320236,0.338234,0.000059,2,0,0.333333,2,0.038255
_blvrnasiha,_blvrnasiha,,10,Mentions,1,10,8,0.209842,0.217108,0,12,0,0,0,0.001182
hotncold110,hotncold110,,5,Mentions,3,5,6,0.324062,0.345326,0.000106,15,0,0.333333,1,0.037281
UniteKurdistan,UniteKurdistan,,2,Mentions,1,2,6,0.300463,0.310562,0,2,0,0,0,0.008072
Qannas_,Qannas_,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
el_e93,el_e93,,5,Mentions,1,5,6,0.310938,0.332784,0,15,0,0,0,0.03032
etdz101010,etdz101010,,10,Mentions,1,10,7,0.25697,0.264894,0,24,0,0,0,0.003083
reynaldovegas13,reynaldovegas13,,2,Mentions,1,2,7,0.267006,0.276121,0,0,0,0,0,0.004561
pieternanninga,pieternanninga,,22,Mentions,12,22,6,0.361126,0.387569,0.003715,18,0,0.151515,10,0.09213
IffetRafeeq,IffetRafeeq,,1,Mentions,1,1,7,0.246536,0.253445,0,4,0,0,0,0.002023
ro34th,ro34th,,201,; User,95,201,6,0.372719,0.40342,0.024021,18,0,0.015454,69,0.18702
ScotsmanInfidel,ScotsmanInfidel,,79,Mentions,1,79,7,0.259631,0.26849,0,11,0,0,0,0.003557
Ford,Ford,,1,Mentions,1,1,7,0.271541,0.282094,0,18,0,0,0,0.005804
iscomedygold,iscomedygold,,1,Mentions,1,1,8,0.233192,0.240544,0,9,0,0,0,0.001783
AlghadAlarabi,AlghadAlarabi,,2,Mentions,2,2,6,0.31167,0.329677,0,16,0,1,1,0.026123
ye_wenjie2,ye_wenjie2,,1,Mentions,1,1,6,0.279193,0.290219,0,3,0,0,0,0.005987
Ahmadmuaffaq,Ahmadmuaffaq,,4,Mentions,2,4,6,0.331032,0.346081,0,0,0,1,1,0.030723
Akhistocrate,Akhistocrate,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
ThoStranger,ThoStranger,,3,Mentions,2,3,6,0.278559,0.28979,0,13,0,1,1,0.006961
Speedy_Villain,Speedy_Villain,,1,Mentions,1,1,7,0.250151,0.256714,0,6,0,0,0,0.001893
Merdsoppppp,Merdsoppppp,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
khawrijwitness,khawrijwitness,,1,Mentions,1,1,7,0.246536,0.253445,0,4,0,0,0,0.002023
MarwanDZ92,MarwanDZ92,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
Abduhark,Abduhark,,28,Mentions,8,28,6,0.378258,0.403198,0.002327,2,0,0.607143,17,0.108042
EyesOnConflict,EyesOnConflict,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
OoOHarray,OoOHarray,,1,Mentions,1,1,8,0.205924,0.211837,0,24,0,0,0,0.000627
Tom_Antonov,Tom_Antonov,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
nvor85j,nvor85j,,10,Mentions; User,5,10,7,0.260715,0.269981,0.001203,3,0,0.2,2,0.004077
angry_hassan,angry_hassan,,5,Mentions,1,5,6,0.269112,0.280749,0,17,0,0,0,0.008397
muslimsoldier10,muslimsoldier10,,1,Mentions,1,1,7,0.216898,0.222152,0,4,0,0,0,0.000467
TheFactsBook,TheFactsBook,,1,Mentions,1,1,6,0.262265,0.270394,0,0,0,0,0,0.003276
nikkijfox,nikkijfox,,1,Mentions,1,1,7,0.252422,0.259866,0,25,0,0,0,0.002167
Bogorad_Olga,Bogorad_Olga,,3,Mentions,2,3,6,0.306417,0.32191,0,0,0,1,1,0.022489
xissyi,xissyi,,1,Mentions,1,1,7,0.245748,0.251279,0,12,0,0,0,0.001072
Fouadhallak89,Fouadhallak89,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
hjr_jhd_17,hjr_jhd_17,,21,Mentions,4,21,6,0.296691,0.311635,0.000213,13,0,0.166667,1,0.018969
apsra178,apsra178,,1,Mentions,1,1,9,0.160359,0.162859,0,25,0,0,0,0.000481
Turkiiii_____,Turkiiii_____,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
app33mu113_,app33mu113_,,11,Mentions,3,11,6,0.337619,0.360476,0.000091,15,0,0.666667,2,0.050068
ImamGoogle,ImamGoogle,,3,Mentions,3,3,6,0.317015,0.340163,0.001064,19,0,0.333333,1,0.035276
milietweet,milietweet,,8,Mentions,1,8,6,0.310938,0.332784,0,15,0,0,0,0.03032
MaghrebiRDC,MaghrebiRDC,,11,Mentions,5,11,6,0.337343,0.36434,0.000803,17,0,0.5,5,0.056231
MyIraq,MyIraq,,2,Mentions,1,2,6,0.271541,0.281434,0,10,0,0,0,0.006624
minusbeer,minusbeer,,2,Mentions,1,2,6,0.284401,0.299239,0,16,0,0,0,0.012414
anak_sabil10,anak_sabil10,,3,Mentions,1,3,6,0.252403,0.259771,0,21,0,0,0,0.002808
shanshamsi,shanshamsi,,2,Mentions,1,2,6,0.269112,0.280749,0,17,0,0,0,0.008397
sheikhkerry,sheikhkerry,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
sam_samson20,sam_samson20,,2,Mentions,1,2,7,0.225102,0.231292,0,19,0,0,0,0.001023
erozenn,erozenn,,2,Mentions,1,2,7,0.25697,0.265584,0,8,0,0,0,0.003779
spamci16,spamci16,,1,Mentions,1,1,8,0.210349,0.21732,0,5,0,0,0,0.000799
Russializer,Russializer,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
ottomanakh,ottomanakh,,5,Mentions,1,5,6,0.269112,0.280749,0,17,0,0,0,0.008397
jolaybib1354,jolaybib1354,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
AsadAlKanadi10,AsadAlKanadi10,,1,Mentions,1,1,7,0.245621,0.252453,0,5,0,0,0,0.001789
hajar_cantlie02,hajar_cantlie02,,4,Mentions,2,4,6,0.265357,0.274569,0.000331,19,0,0,0,0.00504
hajar_cantlie01,hajar_cantlie01,,1,Mentions,1,1,6,0.252403,0.259771,0,21,0,0,0,0.002808
obada_amriki,obada_amriki,,4,Mentions,1,4,6,0.285505,0.296988,0,6,0,0,0,0.008453
LEARNSOMETHlNG,LEARNSOMETHlNG,,2,Mentions,1,2,6,0.284401,0.299239,0,16,0,0,0,0.012414
hajar_cantlie,hajar_cantlie,,2,Mentions,2,2,7,0.248629,0.25544,0.00026,12,0,0,0,0.002254
Macqall,Macqall,,1,Mentions,1,1,7,0.262661,0.271719,0,3,0,0,0,0.003801
sayed_ridha,sayed_ridha,,29,Mentions,10,29,6,0.342759,0.37258,0.000649,2,0,0.377778,17,0.086336
BeatmetoAllah,BeatmetoAllah,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
DRovera,DRovera,,2,Mentions,2,2,6,0.266554,0.276806,0.000218,8,0,0,0,0.006012
Ayyash051,Ayyash051,,1,Mentions,1,1,6,0.258617,0.266757,0,10,0,0,0,0.003791
InqNational,InqNational,,1,Mentions,1,1,7,0.25697,0.264894,0,24,0,0,0,0.003083
Cairo67Unedited,Cairo67Unedited,,4,Mentions,1,4,6,0.310938,0.332784,0,15,0,0,0,0.03032
__metal_head___,__metal_head___,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
kayadam15,kayadam15,,3,Mentions,3,3,7,0.264974,0.276705,0.000554,22,0,0,0,0.007246
AKAOMAR157,AKAOMAR157,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
UmmUmarah2,UmmUmarah2,,6,Mentions,2,6,7,0.261127,0.271537,0.000986,8,0,0,0,0.00585
kayadam19,kayadam19,,1,Mentions,1,1,7,0.268544,0.281999,0,3,0,0,0,0.006849
ElWalaaWalBaraa,ElWalaaWalBaraa,,1,Mentions,1,1,7,0.251215,0.257983,0,12,0,0,0,0.003047
Mikamiles94,Mikamiles94,,3,Mentions,1,3,6,0.310938,0.332784,0,15,0,0,0,0.03032
fatimatje_96,fatimatje_96,,1,Mentions,1,1,7,0.267006,0.276121,0,0,0,0,0,0.004561
darren_dazmav,darren_dazmav,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
LeilaShami,LeilaShami,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
mycatsarecool__,mycatsarecool__,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
mhyaoui764,mhyaoui764,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
MastaKace,MastaKace,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
sam_samson51,sam_samson51,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Tails_live,Tails_live,,4,Mentions,2,4,6,0.300846,0.31711,0.000083,18,0,0,0,0.018516
skbskh,skbskh,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
KeNt_977,KeNt_977,,1,Mentions,1,1,6,0.319896,0.332971,0,0,0,0,0,0.017014
230_Muslimah_,230_Muslimah_,,1,Mentions,1,1,8,0.225624,0.231859,0,22,0,0,0,0.001208
Turhibuun,Turhibuun,,1,Mentions,1,1,6,0.26707,0.27667,0,13,0,0,0,0.006184
AKAOMAR160,AKAOMAR160,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Islamistheway14,Islamistheway14,,5,Mentions,3,5,6,0.268305,0.278851,0.000022,10,0,0.333333,1,0.008497
abpnewstv,abpnewstv,,3,Mentions,3,3,6,0.323334,0.349763,0.000224,12,0,0.333333,1,0.045781
ikhanasori,ikhanasori,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
abu_yusef90,abu_yusef90,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
wszewko,wszewko,,1,Mentions,1,1,6,0.300463,0.310562,0,2,0,0,0,0.008072
alimara15,alimara15,,2,Mentions,2,2,6,0.311553,0.333766,0.000216,9,0,0,0,0.03152
AJpeoplepower,AJpeoplepower,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
reglash,reglash,,1,Mentions,1,1,8,0.238195,0.244196,0,10,0,0,0,0.00195
IWantDollars,IWantDollars,,9,Mentions,6,9,6,0.324507,0.350348,0.000892,10,0,0.2,3,0.050331
ajreid,ajreid,,1,Mentions,1,1,6,0.258617,0.266757,0,10,0,0,0,0.003791
aadawii21,aadawii21,,9,Mentions,1,9,6,0.269112,0.280749,0,17,0,0,0,0.008397
thecricketcouch,thecricketcouch,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
RamiAlLolah,RamiAlLolah,,1212,Mentions; User,329,1212,5,0.470296,0.51639,0.222185,0,0,0.007988,431,0.542752
Muklashink,Muklashink,,2,Mentions,1,2,6,0.284401,0.299239,0,16,0,0,0,0.012414
RPG7sniper,RPG7sniper,,3,Mentions,1,3,7,0.24637,0.254061,0,19,0,0,0,0.002232
Jazrawi_Halab,Jazrawi_Halab,,2,Mentions,2,2,6,0.288165,0.303455,0,17,0,1,1,0.014958
DABIQWARR,DABIQWARR,,1,Mentions,1,1,7,0.254089,0.263841,0,3,0,0,0,0.002729
cadangan20pc,cadangan20pc,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
abuhuthafa,abuhuthafa,,6,Mentions,3,6,6,0.338378,0.364728,0,15,0,1,3,0.063244
AbedaDocrat,AbedaDocrat,,2,Mentions,1,2,7,0.259631,0.26849,0,11,0,0,0,0.003557
ofpurereason,ofpurereason,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
RomainCaillet,RomainCaillet,,24,Mentions,10,24,6,0.358039,0.381082,0.001911,15,0,0.222222,10,0.07699
abuabbas5,abuabbas5,,1,Mentions,1,1,6,0.281665,0.292787,0,8,0,0,0,0.006131
118mostf,118mostf,,1,Mentions,1,1,6,0.26707,0.27667,0,13,0,0,0,0.006184
dawla278,dawla278,,2,Mentions,1,2,7,0.24637,0.254061,0,19,0,0,0,0.002232
krrisstenx3,krrisstenx3,,1,Mentions,1,1,7,0.243703,0.249728,0,0,0,0,0,0.001075
AbuAnonymous,AbuAnonymous,,1,Mentions,1,1,7,0.267006,0.276121,0,0,0,0,0,0.004561
jrossman12,jrossman12,,6,Mentions,1,6,6,0.284401,0.299239,0,16,0,0,0,0.012414
deenahsn,deenahsn,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Ry159n,Ry159n,,1,Mentions,1,1,6,0.271541,0.281434,0,10,0,0,0,0.006624
amas_abu2,amas_abu2,,1,Mentions,1,1,6,0.269112,0.280749,0,17,0,0,0,0.008397
Siham_IlhamO,Siham_IlhamO,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
aisha30account,aisha30account,,1,Mentions,1,1,7,0.24584,0.252267,0,25,0,0,0,0.001832
Obataldeim35,Obataldeim35,,1,Mentions,1,1,8,0.205924,0.211837,0,24,0,0,0,0.000627
AkhOneTeaBagPls,AkhOneTeaBagPls,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
HAMZA35209826,HAMZA35209826,,1,Mentions,1,1,7,0.250151,0.256714,0,6,0,0,0,0.001893
IraqiSuryani1,IraqiSuryani1,,1,Mentions,1,1,7,0.238504,0.244721,0,19,0,0,0,0.002071
UmmTing,UmmTing,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
Mountainzzzzzas,Mountainzzzzzas,,4,Mentions,1,4,6,0.279193,0.290219,0,3,0,0,0,0.005987
muruthallah,muruthallah,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
abubakraliraqi_,abubakraliraqi_,,2,Mentions,2,2,7,0.263099,0.272197,0,17,0,1,1,0.004804
Abu_mahmoud13,Abu_mahmoud13,,1,Mentions,1,1,7,0.270719,0.281248,0,19,0,0,0,0.003755
YunusGhareeb,YunusGhareeb,,12,Mentions,2,12,6,0.291003,0.304911,0.000067,3,0,0,0,0.013034
G_BeEazy,G_BeEazy,,1,Mentions,1,1,7,0.243703,0.249728,0,0,0,0,0,0.001075
ShamiReviver,ShamiReviver,,1,Mentions,1,1,7,0.251215,0.257983,0,12,0,0,0,0.003047
3mar_syr2,3mar_syr2,,1,Mentions,1,1,7,0.270719,0.281248,0,19,0,0,0,0.003755
Jazrawi_3ooud,Jazrawi_3ooud,,1,Mentions,1,1,7,0.250151,0.256714,0,6,0,0,0,0.001893
freelance_112,freelance_112,,23,Mentions; User,16,23,6,0.307814,0.321492,0.002244,3,0,0.091667,11,0.028016
_UmmSayfullah_,_UmmSayfullah_,,5,Mentions,1,5,8,0.233192,0.240544,0,9,0,0,0,0.001783
Mundafenn4,Mundafenn4,,2,Mentions,1,2,6,0.310938,0.332784,0,15,0,0,0,0.03032
IbnKashmir_,IbnKashmir_,,218,; User,120,218,5,0.372719,0.40277,0.036962,10,0,0.015126,108,0.208721
VaguthuOnline,VaguthuOnline,,1,Mentions,1,1,7,0.259631,0.26849,0,11,0,0,0,0.003557
Rikar_Hussein,Rikar_Hussein,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
Belkadette,Belkadette,,7,Mentions,1,7,6,0.310938,0.332784,0,15,0,0,0,0.03032
Jazrawi_Heit,Jazrawi_Heit,,8,Mentions,2,8,6,0.291619,0.30751,0.000277,19,0,0,0,0.014645
ALAMAWI,ALAMAWI,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
muteasde,muteasde,,1,Mentions,1,1,7,0.245602,0.251194,0,0,0,0,0,0.001084
bomber___cat,bomber___cat,,4,Mentions,1,4,6,0.310938,0.332784,0,15,0,0,0,0.03032
majertenyyyi,majertenyyyi,,1,Mentions,1,1,8,0.233192,0.240544,0,9,0,0,0,0.001783
AmalBRose,AmalBRose,,1,Mentions,1,1,7,0.268544,0.281999,0,3,0,0,0,0.006849
Saksentrots,Saksentrots,,2,Mentions,2,2,7,0.275934,0.286975,0.000004,19,0,0,0,0.006769
JewhadiTM,JewhadiTM,,1,Mentions,1,1,7,0.267006,0.276121,0,0,0,0,0,0.004561
Caliphate_uullu,Caliphate_uullu,,1,Mentions,1,1,6,0.252403,0.259771,0,21,0,0,0,0.002808
obretix,obretix,,1,Mentions,1,1,7,0.262661,0.271719,0,3,0,0,0,0.003801
bygmillion,bygmillion,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
Almanya_Fatimah,Almanya_Fatimah,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
badubaii,badubaii,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
CrazyPsyKO,CrazyPsyKO,,2,Mentions,1,2,6,0.26707,0.27667,0,13,0,0,0,0.006184
davidbien3,davidbien3,,1,Mentions,1,1,6,0.300463,0.310562,0,2,0,0,0,0.008072
AtheistInformer,AtheistInformer,,1,Mentions,1,1,6,0.284401,0.299239,0,16,0,0,0,0.012414
Kashmiri6666,Kashmiri6666,,2,Mentions,1,2,6,0.255068,0.263232,0,8,0,0,0,0.002929
Ayyat_S,Ayyat_S,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
faysalalsomali,faysalalsomali,,1,Mentions,1,1,8,0.233192,0.240544,0,9,0,0,0,0.001783
David_Cooks_,David_Cooks_,,4,Mentions,2,4,6,0.313441,0.33493,0.000288,15,0,0,0,0.031507
_croxetti_,_croxetti_,,9,Mentions,1,9,7,0.25697,0.264894,0,24,0,0,0,0.003083
AYAH,AYAH,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
dahmanijamal282,dahmanijamal282,,1,Mentions,1,1,8,0.198775,0.203816,0,22,0,0,0,0.000589
thompwalker,thompwalker,,1,Mentions,1,1,6,0.254656,0.260854,0,18,0,0,0,0.001751
Al_Fatih_18,Al_Fatih_18,,2,Mentions,1,2,7,0.238504,0.244721,0,19,0,0,0,0.002071
InviteToIslam,InviteToIslam,,3,Mentions,2,3,7,0.268697,0.280548,0.000148,11,0,0,0,0.007337
CrypticLion1,CrypticLion1,,3,Mentions,1,3,6,0.279193,0.290219,0,3,0,0,0,0.005987
akhbar,akhbar,,2,Mentions,2,2,6,0.292289,0.308144,0,10,0,1,1,0.016205
