Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality
abuayisha108,abuayisha108,,43,; User,33,43,6,0.325946,0.342389,0.009975,25,0,0.011364,6,0.047169
TheRealBTL,TheRealBTL,,17,Mentions,7,17,6,0.357691,0.379596,0.000173,0,0,0.761905,16,0.082388
HassanRouhani,HassanRouhani,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
abuayisha105,abuayisha105,,1,Mentions,1,1,6,0.252403,0.259771,0,21,0,0,0,0.002808
InformedWitness,InformedWitness,,1,Mentions,1,1,6,0.299159,0.314516,0,18,0,0,0,0.016566
abuayisha102,abuayisha102,,9,Mentions; User,6,9,7,0.263057,0.275514,0.002571,12,0,0.133333,2,0.005301
TRENDlNG___NEWS,TRENDlNG___NEWS,,2,Mentions,1,2,6,0.299159,0.314516,0,18,0,0,0,0.016566
Hamas_Mujahid_,Hamas_Mujahid_,,19,Mentions,2,19,6,0.311494,0.324539,0,2,0,1,1,0.021782
criticalthreats,criticalthreats,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
alamrikiya_001,alamrikiya_001,,13,Mentions,1,13,7,0.226597,0.231919,0,25,0,0,0,0.000839
SyedAamerShah,SyedAamerShah,,1,Mentions,1,1,6,0.300709,0.313907,0,2,0,0,0,0.013709
abootaaloot,abootaaloot,,1,Mentions,1,1,6,0.279193,0.290219,0,3,0,0,0,0.005987
IS_Khurasan8,IS_Khurasan8,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
Labaykallahumma,Labaykallahumma,,1,Mentions,1,1,6,0.255068,0.263232,0,8,0,0,0,0.002929
rien4djri,rien4djri,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
wayf44rer_,wayf44rer_,,30,Mentions,6,30,6,0.31971,0.338839,0.000288,8,0,0.533333,8,0.041987
StateDept,StateDept,,3,Mentions,2,3,6,0.333804,0.349924,0,0,0,1,1,0.033372
RikGoverde,RikGoverde,,2,Mentions,1,2,6,0.284401,0.299239,0,16,0,0,0,0.012414
WindsofParadise,WindsofParadise,,1,Mentions,1,1,7,0.25697,0.265584,0,8,0,0,0,0.003779
wayf44rerr,wayf44rerr,,264,Mentions; User,132,264,6,0.367096,0.40621,0.042672,3,0,0.01307,113,0.209822
imtiazislamkhan,imtiazislamkhan,,4,Mentions,1,4,8,0.233192,0.240544,0,9,0,0,0,0.001783
milkipress,milkipress,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
metronews,metronews,,1,Mentions,1,1,6,0.310938,0.332784,0,15,0,0,0,0.03032
sayedsalahuddin,sayedsalahuddin,,1,Mentions,1,1,6,0.262265,0.270394,0,0,0,0,0,0.003276
smh,smh,,1,Mentions,1,1,6,0.285505,0.296988,0,6,0,0,0,0.008453
bnt_mhz,bnt_mhz,,5,Mentions,2,5,8,0.22088,0.228443,0,12,0,1,1,0.001695
islamicfreedom,islamicfreedom,,3,Mentions,3,3,7,0.265144,0.276735,0.000829,12,0,0,0,0.007787
DriftOne071,DriftOne071,,1,Mentions,1,1,7,0.245748,0.251279,0,12,0,0,0,0.001072
PeerZadaShah,PeerZadaShah,,4,Mentions,1,4,6,0.26707,0.27667,0,13,0,0,0,0.006184
quintillion18,quintillion18,,4,Mentions,2,4,6,0.321044,0.334769,0,0,0,1,1,0.021803
P_Strickland_,P_Strickland_,,1,Mentions,1,1,7,0.251215,0.257983,0,12,0,0,0,0.003047
shakeel9042,shakeel9042,,1,Mentions,1,1,6,0.293663,0.308991,0,0,0,0,0,0.016358
guardian,guardian,,2,Mentions,1,2,6,0.284401,0.299239,0,16,0,0,0,0.012414
