Source,Target,Type,Id,Label,timeset,Weight
Uncle_SamCoco,68tardPourTous,Undirected,116,,,12
abuhanzalah10,AbuHanzalah2,Undirected,117,,,1
itele,Uncle_SamCoco,Undirected,118,,,1
Uncle_SamCoco,AbouAndalouss,Undirected,119,,,1
_JstMryam,DawlaWitness11,Undirected,120,,,3
FehmiAlTurki,Abu_Azzzam25,Undirected,121,,,1
slwan1959,RamiAlLolah,Undirected,122,,,1
moustiklash,kingemirb,Undirected,123,,,1
sonofshishan,Prswitness,Undirected,124,,,3
brwisamhaddad,Witness_alHaqq,Undirected,125,,,3
Uncle_SamCoco,Arturo_plv,Undirected,126,,,1
WarReporter1,IAJABNEWS,Undirected,127,,,1
absialbaghdadi,CXaafada2,Undirected,128,,,3
moustiklash,haqseaker,Undirected,129,,,1
MaghrebiAZ,MaghrabiArabi,Undirected,130,,,1
kovandire,RamiAlLolah,Undirected,131,,,1
infos140,Uncle_SamCoco,Undirected,132,,,1
abuayisha108,Alriadiati786,Undirected,133,,,1
Suspend_Me_fags,9996Medina,Undirected,134,,,1
Nidalgazaui,Conflicts,Undirected,135,,,8
alamreeki4,Rita_Katz,Undirected,136,,,1
StateOfUkraine,MaghrabiArabi,Undirected,137,,,1
abuhaleema75,WhiteCat_7,Undirected,138,,,1
wayf44rerr,MdmdDndmd,Undirected,139,,,1
Uncle_SamCoco,DanieleRaineri,Undirected,140,,,10
biladshammedia1,IbnKashmir_,Undirected,141,,,1
warreporter2,BrotherJalaal,Undirected,142,,,5
Pachaconsumer,Abu_Azzzam25,Undirected,143,,,3
mobi_ayubi,1515Theory,Undirected,144,,,1
EPlC24,Ayyash051,Undirected,145,,,1
abutariq040,Abu277H,Undirected,146,,,2
abdlrhmn15,EnverEvlaki,Undirected,147,,,1
lNSlDEWAR,Raqqa_SL,Undirected,148,,,2
Uncle_SamCoco,Milouse14,Undirected,149,,,3
kufr_bit_tagoot,Baqiyah_Khilafa,Undirected,150,,,1
f_hosainy_f,___KU217_y,Undirected,151,,,1
mobi_ayubi,center_studies,Undirected,152,,,1
thefIamesofhaqq,EPlC24,Undirected,153,,,6
mobi_ayubi,PalmyraPioneer,Undirected,154,,,5
Nidalgazaui,DailyStarLeb,Undirected,155,,,1
warrnews,Dilansyria,Undirected,156,,,2
__alfresco__,ProJ000_,Undirected,157,,,6
Suspend_Me_fags,DanHRothschild,Undirected,158,,,1
Jazrawi_Joulan,HooodMz2,Undirected,159,,,1
klakishinki2,IbnKashmir_,Undirected,160,,,2
iislamic03,WhiteCat_7,Undirected,161,,,1
_IshfaqAhmad,OttomanAkh,Undirected,162,,,1
desolder_pump,WarReporter1,Undirected,163,,,1
wydad91,Uncle_SamCoco,Undirected,164,,,1
AsimAbuMerjem,7layers_,Undirected,165,,,7
Saad_Abu_Ziyad,Abu_Ibn_Taha,Undirected,166,,,3
tanveerbashir,_IshfaqAhmad,Undirected,167,,,1
abutariq040,_Inghimasi1,Undirected,168,,,2
asadanbari6,Jazrawi_Saraqib,Undirected,169,,,2
oryxspioenkop,FidaeeFulaani,Undirected,170,,,5
nbbrk,WarReporter1,Undirected,171,,,1
roridonaghy,murasil1,Undirected,172,,,1
warrnews,ShamiRebel,Undirected,173,,,11
mobi_ayubi,FSATruth,Undirected,174,,,2
abuhumayra4,Snowy_BlacK_,Undirected,175,,,1
warreporter2,Khalidi4sham_,Undirected,176,,,1
abutariq041,Jazrawi_Alrai,Undirected,177,,,1
warrnews,LeilaShami,Undirected,178,,,1
doammuslims,NaseemAhmed50,Undirected,179,,,5
quintillion18,RamiAlLolah,Undirected,180,,,3
worldonalert,mobi_ayubi,Undirected,181,,,16
warreporter2,DidyouknowVS,Undirected,182,,,70
mobi_ayubi,metesohtaoglu,Undirected,183,,,5
mobi_ayubi,adegrandpre,Undirected,184,,,1
sakirkhader,MaghrabiArabi,Undirected,185,,,1
mobi_ayubi,Tuuryare_Africa,Undirected,186,,,6
MaghrabiArabi,GodlessHussar,Undirected,187,,,1
SaxHorse666,RamiAlLolah,Undirected,188,,,1
arisroussinos,alamreeki4,Undirected,189,,,1
Uncle_SamCoco,SaharaReporters,Undirected,190,,,1
wayf44rer__,Uncle_SamCoco,Undirected,191,,,1
Uncle_SamCoco,92marwann,Undirected,192,,,5
omashkavash16,JohnsonsBot,Undirected,193,,,1
mehdirhasan,WarReporter1,Undirected,194,,,1
LaysalGhareebM,Fidaee_Fulaani,Undirected,195,,,1
RamiAlLolah,GrayB88,Undirected,196,,,1
abuhumayra4,_salsabeela,Undirected,197,,,2
c0n0fj1had4_,Independent,Undirected,198,,,1
moha_ddict,Uncle_SamCoco,Undirected,199,,,1
Uncle_SamCoco,QatariAbu,Undirected,200,,,2
NaseemAhmed50,IraqSurveys,Undirected,201,,,1
aronlund,Fidaee_Fulaani,Undirected,202,,,1
abutariq041,Qital_Muhajir,Undirected,203,,,1
ro34th,DanieleRaineri,Undirected,204,,,1
